permutation_index,accuracy,signed_margin_null_mean
1,0.45,-0.08151929525525857
2,0.5,-0.04890302385395347
3,0.45,-0.030139996795760276
4,0.5,-0.05387066533989038
5,0.55,-0.08311669773990835
6,0.6,-0.0076350852099882184
7,0.45,0.005935865485088279
8,0.5,-0.04214914999239134
9,0.35,0.02896924890539686
10,0.45,-0.030047531704279158
11,0.5,-0.011238373686100723
12,0.55,0.02287516867470697
13,0.6,-0.04847361996176612
14,0.5,0.01202565266208725
15,0.5,-0.035729805290988015
16,0.55,0.004233435989572404
17,0.65,0.011704881206435836
18,0.4,0.007452326291820033
19,0.55,-0.06540951632880733
20,0.5,-0.021933673865672697
21,0.65,-0.031668654481428894
22,0.6,-0.007683062585686925
23,0.45,0.00011686467203430029
24,0.6,0.012961096608815965
25,0.5,-0.004425439733485015
26,0.4,-0.005620891861906024
27,0.45,0.06731146952612876
28,0.5,-0.03746995219075226
29,0.4,-0.024492078983901645
30,0.55,0.048982685214145526
31,0.55,0.017836484373143453
32,0.5,-0.01450430435183266
33,0.5,0.020713897327183227
34,0.6,0.024113528641593263
35,0.5,0.04279161001612906
36,0.6,0.0062465201168920206
37,0.55,-0.061894390278453226
38,0.5,0.006606852091348189
39,0.45,-0.026376676759432505
40,0.55,-0.06345949569025987
41,0.5,-0.015439337188302487
42,0.55,-0.023464602122733835
43,0.5,-0.10977042903008252
44,0.55,0.0012702602844017433
45,0.55,-0.06567634551002985
46,0.5,0.045958204138502295
47,0.45,0.07869468191387907
48,0.55,0.04064652037348245
49,0.45,-0.04620714183698458
50,0.5,-0.031093479056481195
51,0.5,-0.0045672302730060035
52,0.5,0.006271598479326469
53,0.5,-0.02428561376620735
54,0.65,0.014370422135739793
55,0.5,-0.059646139969318224
56,0.4,0.040743265719070144
57,0.55,-0.05816607230035757
58,0.4,0.024097851231610387
59,0.4,0.043260992410588464
60,0.4,-0.0025086633338097823
61,0.55,0.009333030450363957
62,0.3,-0.06696220110052195
63,0.5,0.027264851282761023
64,0.5,0.10058536209181845
65,0.45,-0.01903014471904436
66,0.45,-0.0271915095781133
67,0.35,-0.03174344978198314
68,0.5,-0.005370368937786879
69,0.4,0.003883872628723173
70,0.7,-0.022694282394082478
71,0.4,-0.01988640451978644
72,0.6,0.054026204839277926
73,0.4,-0.011253640316463753
74,0.55,-0.0015843228040518798
75,0.45,0.05586258247777594
76,0.55,0.010561135828337146
77,0.4,-0.010410547592731816
78,0.45,0.010144863885969935
79,0.55,0.008049537871967088
80,0.6,-0.08214244640191318
81,0.45,0.003645220276953859
82,0.55,-0.01909581619352694
83,0.4,0.009476251823615639
84,0.5,-0.013587095258691784
85,0.4,-0.0161183798015202
86,0.75,-0.03650993444053796
87,0.35,0.007566049376138581
88,0.5,0.00557215307105619
89,0.5,-0.014939119311822563
90,0.6,-0.020184961076940736
91,0.55,0.06941107497918665
92,0.5,0.07768557173899235
93,0.4,0.006496308471549479
94,0.65,0.05977292219671522
95,0.45,0.06491668537790152
96,0.5,-0.010263154858777063
97,0.45,-0.01379026009264378
98,0.45,-0.010378666231094156
99,0.6,0.10657683710808423
100,0.45,-0.026852950438884592
101,0.5,0.04468095972034973
102,0.5,-0.020245562640896275
103,0.6,0.04358537152542779
104,0.5,-0.02513813696999074
105,0.5,0.026723750063167413
106,0.45,-0.007631078909420594
107,0.5,-0.06562058731682556
108,0.35,-0.035030286638626736
109,0.45,-0.08163596798521258
110,0.45,0.0025430408314922243
111,0.45,0.08388067566242165
112,0.55,-0.043525624017099675
113,0.5,-0.027340122974056406
114,0.4,-0.014090493501847443
115,0.4,-0.040445995626126316
116,0.5,0.11151154327281451
117,0.45,-0.0017695769573652681
